"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","301.15","305.64","306.12","301.11","2.95M","-1.24%"
"12/30/2025","304.92","306.08","307.48","304.70","2.98M","-0.13%"
"12/29/2025","305.32","303.37","306.46","301.89","3.62M","-0.24%"
"12/26/2025","306.04","307.40","307.54","305.29","1.86M","-0.03%"
"12/24/2025","306.14","304.99","306.50","304.71","1.72M","0.39%"
"12/23/2025","304.96","302.21","305.12","301.37","2.71M","0.37%"
"12/22/2025","303.84","306.73","306.94","302.55","4.02M","1.34%"
"12/19/2025","299.81","294.67","301.69","294.50","5.07M","2.66%"
"12/18/2025","292.04","295.72","296.96","290.83","6.74M","2.39%"
"12/17/2025","285.23","297.32","298.18","284.43","10.42M","-3.70%"
"12/16/2025","296.20","296.70","298.92","293.08","5.85M","-0.61%"
"12/15/2025","298.01","302.60","303.50","297.23","5.24M","-0.49%"
"12/12/2025","299.48","310.80","311.60","297.96","13.81M","-4.78%"
"12/11/2025","314.52","312.80","314.77","305.79","6.50M","-0.57%"
"12/10/2025","316.33","312.01","317.35","310.56","5.09M","1.33%"
"12/09/2025","312.18","310.78","312.85","309.43","2.78M","-0.19%"
"12/08/2025","312.76","311.92","314.08","309.86","3.62M","1.09%"
"12/05/2025","309.40","309.30","312.83","308.93","4.34M","1.02%"
"12/04/2025","306.28","307.84","308.27","304.59","4.64M","-1.00%"
"12/03/2025","309.36","304.50","309.57","301.46","3.87M","2.15%"
"12/02/2025","302.84","300.45","304.84","298.69","5.09M","1.99%"
"12/01/2025","296.92","292.87","299.42","292.53","3.93M","0.06%"
"11/28/2025","296.74","293.25","296.99","291.83","3.04M","1.84%"
"11/26/2025","291.39","286.72","294.08","286.61","5.82M","2.75%"
"11/25/2025","283.58","278.95","284.34","272.76","5.94M","0.31%"
"11/24/2025","282.70","273.78","284.05","273.61","6.42M","4.38%"
"11/21/2025","270.83","268.27","274.76","260.44","15.36M","1.02%"
"11/20/2025","268.10","288.90","289.99","267.00","13.40M","-4.80%"
"11/19/2025","281.61","278.14","285.14","276.82","5.11M","1.67%"
"11/18/2025","276.98","279.54","281.40","274.09","11.10M","-2.32%"
"11/17/2025","283.56","286.07","291.53","280.24","8.19M","-1.72%"
"11/14/2025","288.52","280.62","292.80","279.41","7.14M","-0.30%"
"11/13/2025","289.38","295.94","297.13","286.45","10.98M","-3.43%"
"11/12/2025","299.67","300.22","301.69","297.50","4.14M","1.53%"
"11/11/2025","295.15","299.04","300.02","294.69","5.88M","-2.27%"
"11/10/2025","302.00","302.44","303.36","298.54","6.03M","2.59%"
"11/07/2025","294.38","292.64","294.45","283.59","13.80M","-1.05%"
"11/06/2025","297.50","305.00","305.89","295.35","8.55M","-2.61%"
"11/05/2025","305.47","297.21","309.17","296.89","4.95M","3.11%"
"11/04/2025","296.26","300.34","304.74","295.55","5.29M","-3.93%"
"11/03/2025","308.38","310.40","311.75","307.13","3.75M","0.60%"
"10/31/2025","306.55","308.70","311.32","304.26","5.16M","0.37%"
"10/30/2025","305.41","307.94","311.12","305.38","4.63M","-1.35%"
"10/29/2025","309.60","309.86","312.79","306.97","4.50M","1.69%"
